Name,Block #,X,Y,Angle,Side
.ref,289,10350,3050,0,TOP
.ref,290,10700,3050,0,TOP
.ref,291,11050,3050,0,TOP
.ref,292,200,3400,0,TOP
.ref,293,550,3400,0,TOP
.ref,294,900,3400,0,TOP
.ref,295,1250,3400,0,TOP
.ref,296,1600,3400,0,TOP
.ref,297,1950,3400,0,TOP
.ref,298,2300,3400,0,TOP
.ref,299,2650,3400,0,TOP
.ref,300,3000,3400,0,TOP
.ref,301,3350,3400,0,TOP
.ref,302,3700,3400,0,TOP
.ref,303,4050,3400,0,TOP
.ref,304,4400,3400,0,TOP
.ref,305,4750,3400,0,TOP
.ref,306,5100,3400,0,TOP
.ref,307,5450,3400,0,TOP
.ref,308,5800,3400,0,TOP
.ref,309,6150,3400,0,TOP
.ref,310,6500,3400,0,TOP
.ref,311,6850,3400,0,TOP
.ref,312,7200,3400,0,TOP
.ref,313,7550,3400,0,TOP
.ref,314,7900,3400,0,TOP
.ref,315,8250,3400,0,TOP
.ref,316,8600,3400,0,TOP
.ref,317,8950,3400,0,TOP
.ref,318,9300,3400,0,TOP
.ref,319,9650,3400,0,TOP
.ref,320,10000,3400,0,TOP
.ref,321,10350,3400,0,TOP
.ref,322,10700,3400,0,TOP
.ref,323,11050,3400,0,TOP
.ref,324,200,3750,0,TOP
.ref,325,550,3750,0,TOP
.ref,326,900,3750,0,TOP
.ref,327,1250,3750,0,TOP
.ref,328,1600,3750,0,TOP
.ref,329,1950,3750,0,TOP
.ref,330,2300,3750,0,TOP
.ref,331,2650,3750,0,TOP
.ref,332,3000,3750,0,TOP
.ref,333,3350,3750,0,TOP
.ref,334,3700,3750,0,TOP
.ref,335,4050,3750,0,TOP
.ref,336,4400,3750,0,TOP
.ref,337,4750,3750,0,TOP
.ref,338,5100,3750,0,TOP
.ref,339,5450,3750,0,TOP
.ref,340,5800,3750,0,TOP
.ref,341,6150,3750,0,TOP
.ref,342,6500,3750,0,TOP
.ref,343,6850,3750,0,TOP
.ref,344,7200,3750,0,TOP
.ref,345,7550,3750,0,TOP
.ref,346,7900,3750,0,TOP
.ref,347,8250,3750,0,TOP
.ref,348,8600,3750,0,TOP
.ref,349,8950,3750,0,TOP
.ref,350,9300,3750,0,TOP
.ref,351,9650,3750,0,TOP
.ref,352,10000,3750,0,TOP
.ref,353,10350,3750,0,TOP
.ref,354,10700,3750,0,TOP
.ref,355,11050,3750,0,TOP
.ref,356,200,4100,0,TOP
.ref,357,550,4100,0,TOP
.ref,358,900,4100,0,TOP
.ref,359,1250,4100,0,TOP
.ref,360,1600,4100,0,TOP
.ref,361,1950,4100,0,TOP
.ref,362,2300,4100,0,TOP
.ref,363,2650,4100,0,TOP
.ref,364,3000,4100,0,TOP
.ref,365,3350,4100,0,TOP
.ref,366,3700,4100,0,TOP
.ref,367,4050,4100,0,TOP
.ref,368,4400,4100,0,TOP
.ref,369,4750,4100,0,TOP
.ref,370,5100,4100,0,TOP
.ref,371,5450,4100,0,TOP
.ref,372,5800,4100,0,TOP
.ref,373,6150,4100,0,TOP
.ref,374,6500,4100,0,TOP
.ref,375,6850,4100,0,TOP
.ref,376,7200,4100,0,TOP
.ref,377,7550,4100,0,TOP
.ref,378,7900,4100,0,TOP
.ref,379,8250,4100,0,TOP
.ref,380,8600,4100,0,TOP
.ref,381,8950,4100,0,TOP
.ref,382,9300,4100,0,TOP
.ref,383,9650,4100,0,TOP
.ref,384,10000,4100,0,TOP
.ref,385,10350,4100,0,TOP
.ref,386,10700,4100,0,TOP
.ref,387,11050,4100,0,TOP
.ref,388,200,4450,0,TOP
.ref,389,550,4450,0,TOP
.ref,390,900,4450,0,TOP
.ref,391,1250,4450,0,TOP
.ref,392,1600,4450,0,TOP
.ref,393,1950,4450,0,TOP
.ref,394,2300,4450,0,TOP
.ref,395,2650,4450,0,TOP
.ref,396,3000,4450,0,TOP
.ref,397,3350,4450,0,TOP
.ref,398,3700,4450,0,TOP
.ref,399,4050,4450,0,TOP
.ref,400,4400,4450,0,TOP
.ref,401,4750,4450,0,TOP
.ref,402,5100,4450,0,TOP
.ref,403,5450,4450,0,TOP
.ref,404,5800,4450,0,TOP
.ref,405,6150,4450,0,TOP
.ref,406,6500,4450,0,TOP
.ref,407,6850,4450,0,TOP
.ref,408,7200,4450,0,TOP
.ref,409,7550,4450,0,TOP
.ref,410,7900,4450,0,TOP
.ref,411,8250,4450,0,TOP
.ref,412,8600,4450,0,TOP
.ref,413,8950,4450,0,TOP
.ref,414,9300,4450,0,TOP
.ref,415,9650,4450,0,TOP
.ref,416,10000,4450,0,TOP
.ref,417,10350,4450,0,TOP
.ref,418,10700,4450,0,TOP
.ref,419,11050,4450,0,TOP
.ref,420,200,4800,0,TOP
.ref,421,550,4800,0,TOP
.ref,422,900,4800,0,TOP
.ref,423,1250,4800,0,TOP
.ref,424,1600,4800,0,TOP
.ref,425,1950,4800,0,TOP
.ref,426,2300,4800,0,TOP
.ref,427,2650,4800,0,TOP
.ref,428,3000,4800,0,TOP
.ref,429,3350,4800,0,TOP
.ref,430,3700,4800,0,TOP
.ref,431,4050,4800,0,TOP
.ref,432,4400,4800,0,TOP
.ref,433,4750,4800,0,TOP
.ref,434,5100,4800,0,TOP
.ref,435,5450,4800,0,TOP
.ref,436,5800,4800,0,TOP
.ref,437,6150,4800,0,TOP
.ref,438,6500,4800,0,TOP
.ref,439,6850,4800,0,TOP
.ref,440,7200,4800,0,TOP
.ref,441,7550,4800,0,TOP
.ref,442,7900,4800,0,TOP
.ref,443,8250,4800,0,TOP
.ref,444,8600,4800,0,TOP
.ref,445,8950,4800,0,TOP
.ref,446,9300,4800,0,TOP
.ref,447,9650,4800,0,TOP
.ref,448,10000,4800,0,TOP
.ref,449,10350,4800,0,TOP
.ref,450,10700,4800,0,TOP
.ref,451,11050,4800,0,TOP
.ref,452,200,5150,0,TOP
.ref,453,550,5150,0,TOP
.ref,454,900,5150,0,TOP
.ref,455,1250,5150,0,TOP
.ref,456,1600,5150,0,TOP
.ref,457,1950,5150,0,TOP
.ref,458,2300,5150,0,TOP
.ref,459,2650,5150,0,TOP
.ref,460,3000,5150,0,TOP
.ref,461,3350,5150,0,TOP
.ref,462,3700,5150,0,TOP
.ref,463,4050,5150,0,TOP
.ref,464,4400,5150,0,TOP
.ref,465,4750,5150,0,TOP
.ref,466,5100,5150,0,TOP
.ref,467,5450,5150,0,TOP
.ref,468,5800,5150,0,TOP
.ref,469,6150,5150,0,TOP
.ref,470,6500,5150,0,TOP
.ref,471,6850,5150,0,TOP
.ref,472,7200,5150,0,TOP
.ref,473,7550,5150,0,TOP
.ref,474,7900,5150,0,TOP
.ref,475,8250,5150,0,TOP
.ref,476,8600,5150,0,TOP
.ref,477,8950,5150,0,TOP
.ref,478,9300,5150,0,TOP
.ref,479,9650,5150,0,TOP
.ref,480,10000,5150,0,TOP
.ref,481,10350,5150,0,TOP
.ref,482,10700,5150,0,TOP
.ref,483,11050,5150,0,TOP
.ref,484,200,5500,0,TOP
.ref,485,550,5500,0,TOP
.ref,486,900,5500,0,TOP
.ref,487,1250,5500,0,TOP
.ref,488,1600,5500,0,TOP
.ref,489,1950,5500,0,TOP
.ref,490,2300,5500,0,TOP
.ref,491,2650,5500,0,TOP
.ref,492,3000,5500,0,TOP
.ref,493,3350,5500,0,TOP
.ref,494,3700,5500,0,TOP
.ref,495,4050,5500,0,TOP
.ref,496,4400,5500,0,TOP
.ref,497,4750,5500,0,TOP
.ref,498,5100,5500,0,TOP
.ref,499,5450,5500,0,TOP
.ref,500,5800,5500,0,TOP
.ref,501,6150,5500,0,TOP
.ref,502,6500,5500,0,TOP
.ref,503,6850,5500,0,TOP
.ref,504,7200,5500,0,TOP
.ref,505,7550,5500,0,TOP
.ref,506,7900,5500,0,TOP
.ref,507,8250,5500,0,TOP
.ref,508,8600,5500,0,TOP
.ref,509,8950,5500,0,TOP
.ref,510,9300,5500,0,TOP
.ref,511,9650,5500,0,TOP
.ref,512,10000,5500,0,TOP
.ref,513,10350,5500,0,TOP
.ref,514,10700,5500,0,TOP
.ref,515,11050,5500,0,TOP
.ref,516,200,5850,0,TOP
.ref,517,550,5850,0,TOP
.ref,518,900,5850,0,TOP
.ref,519,1250,5850,0,TOP
.ref,520,1600,5850,0,TOP
.ref,521,1950,5850,0,TOP
.ref,522,2300,5850,0,TOP
.ref,523,2650,5850,0,TOP
.ref,524,3000,5850,0,TOP
.ref,525,3350,5850,0,TOP
.ref,526,3700,5850,0,TOP
.ref,527,4050,5850,0,TOP
.ref,528,4400,5850,0,TOP
.ref,529,4750,5850,0,TOP
.ref,530,5100,5850,0,TOP
.ref,531,5450,5850,0,TOP
.ref,532,5800,5850,0,TOP
.ref,533,6150,5850,0,TOP
.ref,534,6500,5850,0,TOP
.ref,535,6850,5850,0,TOP
.ref,536,7200,5850,0,TOP
.ref,537,7550,5850,0,TOP
.ref,538,7900,5850,0,TOP
.ref,539,8250,5850,0,TOP
.ref,540,8600,5850,0,TOP
.ref,541,8950,5850,0,TOP
.ref,542,9300,5850,0,TOP
.ref,543,9650,5850,0,TOP
.ref,544,10000,5850,0,TOP
.ref,545,10350,5850,0,TOP
.ref,546,10700,5850,0,TOP
.ref,547,11050,5850,0,TOP
.ref,548,200,6200,0,TOP
.ref,549,550,6200,0,TOP
.ref,550,900,6200,0,TOP
.ref,551,1250,6200,0,TOP
.ref,552,1600,6200,0,TOP
.ref,553,1950,6200,0,TOP
.ref,554,2300,6200,0,TOP
.ref,555,2650,6200,0,TOP
.ref,556,3000,6200,0,TOP
.ref,557,3350,6200,0,TOP
.ref,558,3700,6200,0,TOP
.ref,559,4050,6200,0,TOP
.ref,560,4400,6200,0,TOP
.ref,561,4750,6200,0,TOP
.ref,562,5100,6200,0,TOP
.ref,563,5450,6200,0,TOP
.ref,564,5800,6200,0,TOP
.ref,565,6150,6200,0,TOP
.ref,566,6500,6200,0,TOP
.ref,567,6850,6200,0,TOP
.ref,568,7200,6200,0,TOP
.ref,569,7550,6200,0,TOP
.ref,570,7900,6200,0,TOP
.ref,571,8250,6200,0,TOP
.ref,572,8600,6200,0,TOP
.ref,573,8950,6200,0,TOP
.ref,574,9300,6200,0,TOP
.ref,575,9650,6200,0,TOP
.ref,576,10000,6200,0,TOP
.ref,577,10350,6200,0,TOP
.ref,578,10700,6200,0,TOP
.ref,579,11050,6200,0,TOP
.ref,580,200,6550,0,TOP
.ref,581,550,6550,0,TOP
.ref,582,900,6550,0,TOP
.ref,583,1250,6550,0,TOP
.ref,584,1600,6550,0,TOP
.ref,585,1950,6550,0,TOP
.ref,586,2300,6550,0,TOP
.ref,587,2650,6550,0,TOP
.ref,588,3000,6550,0,TOP
.ref,589,3350,6550,0,TOP
.ref,590,3700,6550,0,TOP
.ref,591,4050,6550,0,TOP
.ref,592,4400,6550,0,TOP
.ref,593,4750,6550,0,TOP
.ref,594,5100,6550,0,TOP
.ref,595,5450,6550,0,TOP
.ref,596,5800,6550,0,TOP
.ref,597,6150,6550,0,TOP
.ref,598,6500,6550,0,TOP
.ref,599,6850,6550,0,TOP
.ref,600,7200,6550,0,TOP
.ref,601,7550,6550,0,TOP
.ref,602,7900,6550,0,TOP
.ref,603,8250,6550,0,TOP
.ref,604,8600,6550,0,TOP
.ref,605,8950,6550,0,TOP
.ref,606,9300,6550,0,TOP
.ref,607,9650,6550,0,TOP
.ref,608,10000,6550,0,TOP
.ref,609,10350,6550,0,TOP
.ref,610,10700,6550,0,TOP
.ref,611,11050,6550,0,TOP
.ref,612,200,6900,0,TOP
.ref,613,550,6900,0,TOP
.ref,614,900,6900,0,TOP
.ref,615,1250,6900,0,TOP
.ref,616,1600,6900,0,TOP
.ref,617,1950,6900,0,TOP
.ref,618,2300,6900,0,TOP
.ref,619,2650,6900,0,TOP
.ref,620,3000,6900,0,TOP
.ref,621,3350,6900,0,TOP
.ref,622,3700,6900,0,TOP
.ref,623,4050,6900,0,TOP
.ref,624,4400,6900,0,TOP
.ref,625,4750,6900,0,TOP
.ref,626,5100,6900,0,TOP
.ref,627,5450,6900,0,TOP
.ref,628,5800,6900,0,TOP
.ref,629,6150,6900,0,TOP
.ref,630,6500,6900,0,TOP
.ref,631,6850,6900,0,TOP
.ref,632,7200,6900,0,TOP
